id,account,account_screenname,account_location,account_followers,account_following,account_age_days,account_description,is_retweet,original_author,tweeted_on,count_retweeted,count_favorited,hashtags,tweet_text
1297414835337138177,David M Haselden III,DMHaselden3,"South Carolina, USA",223,1859,1745,Trying To Make A Difference,1,ArtL7,2020-08-23 06:06:16,11,0,"USPSsabotage, DeJoy, veterans, Rx, meds","Inside #USPSsabotage by #DeJoy :How can state officials act now to reverse damage before #veterans die from delayed #Rx #meds &amp;,#votebymail #election disrupted? @RepKatiePorter @benjaminwittes @stevebenen @NormOrnstein @iava  @JoyceWhiteVance @voteathome https://t.co/GOkVTb1wP7"
1297414683549249536,Outoutdangspot,Cgoinggal,,268,995,1052,Tweet-track of what happened for my kids to learn from when they are older.  Here's to hoping it is not a trail of breadcrumbs to find their way back from.,1,ArtL7,2020-08-23 06:05:40,11,0,"USPSsabotage, DeJoy, veterans, Rx, meds","Inside #USPSsabotage by #DeJoy :How can state officials act now to reverse damage before #veterans die from delayed #Rx #meds &amp;,#votebymail #election disrupted? @RepKatiePorter @benjaminwittes @stevebenen @NormOrnstein @iava  @JoyceWhiteVance @voteathome https://t.co/GOkVTb1wP7"
1297414135081324545,Norman Ornstein,NormOrnstein,"Washington, DC",147417,2769,2457,Norman Ornstein is a resident scholar at the American Enterprise Institute and a contributing editor for the Atlantic.,1,ArtL7,2020-08-23 06:03:29,11,0,"USPSsabotage, DeJoy, veterans, Rx, meds","Inside #USPSsabotage by #DeJoy :How can state officials act now to reverse damage before #veterans die from delayed #Rx #meds &amp;,#votebymail #election disrupted? @RepKatiePorter @benjaminwittes @stevebenen @NormOrnstein @iava  @JoyceWhiteVance @voteathome https://t.co/GOkVTb1wP7"
1297413770030075905,The New Sarawak,thenewsarawak,,165,0,151,Your source of independent news and insights from Sarawak and beyond.,0,thenewsarawak,2020-08-23 06:02:02,0,0,"Bersatu, election, Sabah, Sarawak","Muhyiddin retains Bersatu presidency, no Sarawak reps in top party lineup

 https://t.co/ydyfECj5vJ  

 The only notable East Malaysian is Datuk Seri Ronald Kiandee from Sabah, who has won one of the three elected VP's post.

#Bersatu #election #Sabah #Sarawak"
1297411997315760134,Manu Huwyler,ManuH17068685,Schweiz,58,96,102,"#Kultur, #Kunst, #traditionelle #Werte, #Philosophie, #Pädagogik, #Ethik, #Menschenwürde und #Natur und natürliche #Ernährung",0,ManuH17068685,2020-08-23 05:54:59,0,0,"CCP, China, Targeting, U, S, Election",Is #CCP-led #China #Targeting #U.#S. #Election? https://t.co/spXXKp1ThU via @YouTube
1297411496645783552,Modi Fan,ModiFan34965646,"Gujarat, India",30,335,68,Proud our best PM Modiji,1,Rajesh070003,2020-08-23 05:53:00,4,0,"indianpolitics, india, bjp, narendramodi, mumbai, politics, election, india","MODI HE TOH SAB MUMKIN HAI 🙏🙏🙏🇮🇳🇮🇳🇮🇳🇮🇳

#indianpolitics #india #bjp #narendramodi #mumbai #politics #election #india #modi #pkmkb #delhi #rss #amitshah #news #pakistan #pakistani #hindu #hinduism #crpatil #vijayrupani #NarendraModi #bjym https://t.co/SyHZYwWEhz"
1297409911282778112,Abhay Sharma _uttarakhand,AbhaySh70945134,Uttarakhand,48,239,99,,0,AbhaySh70945134,2020-08-23 05:46:42,0,0,election,Uttarakhand govt should take c.m helpline seriously.. #election is coming.
1297409254643478528,Ruth Self-Williams,RuthSelfWilliam,,1,1,3,"Standing for Our Students! School Board candidate for Area 5. Retired educator with 38 years of experience, and member of the MoVal community for 30 years.",0,RuthSelfWilliam,2020-08-23 05:44:05,0,0,"MorenoValleyCA, RiversideCounty, RiversideCA, November3rd, Election","Moreno Valley residents and those who are in the broader Riverside County area who are registered to vote! Please watch this video about some important election updates: https://t.co/l4E0pC32xO 
#MorenoValleyCA #RiversideCounty #RiversideCA #November3rd #Election"
1297408584863580161,Jideako,eyebuggy,"Lagos, Nigeria",2603,3351,3153,Impossible is nothing!!,1,orderofDaniel,2020-08-23 05:41:25,1,0,election,"@SaharaReporters @OfficialAPCNg If 90% of #election results are determined by the $Courts and the rich and powerful continue  to influence judicial decisions, then we are under an Oligarchy not a #Democracy. Then one can safely say that Nigeria is a pseudo-Democratic country."
1297408394324619264,Chetan Bhandari,ChetanB74190785,"Pardi, India",4235,4729,1214,"#Youth President of Valsad District BJYM

# Former BJYM Youth president Pardi city
# Former BJYM Youth General Secretry
#Former lions club Member
#svgryb Valsad",1,Rajesh070003,2020-08-23 05:40:40,4,0,"indianpolitics, india, bjp, narendramodi, mumbai, politics, election, india","MODI HE TOH SAB MUMKIN HAI 🙏🙏🙏🇮🇳🇮🇳🇮🇳🇮🇳

#indianpolitics #india #bjp #narendramodi #mumbai #politics #election #india #modi #pkmkb #delhi #rss #amitshah #news #pakistan #pakistani #hindu #hinduism #crpatil #vijayrupani #NarendraModi #bjym https://t.co/SyHZYwWEhz"
1297407539638702080,rohit,badboireh,,0,23,331,,0,badboireh,2020-08-23 05:37:16,0,0,"election, BJP, SATYAGRAH_AgainstExamInCovid","If you want to fight with us then you can
I am from Bihar and waiting for the #election we Biharis never forget #BJP 
 majority of students are from Bihar and their parents also ( we all are eligible to vote)
@PMOIndia
@AmitShahOffice @DrRPNishank 
#SATYAGRAH_AgainstExamInCovid"
1297407422835773442,G-CPA,gcpaindia,"Chandigarh, India",1,21,101,"G-CPA ( Gopalpuri's Committee Of Political Action ) is works as the young Political facilitator, Strategist ,coordinator in political circles.",1,gsgopalpuri,2020-08-23 05:36:48,2,0,,"➡️ Important Information ⬅️
@AmitShah @BJP4India @RJDforIndia @TejYadav14 @yadavtejashwi @INCIndia @officeofssbadal @ChouhanShivraj 
 #UttarPradesh #UP #MP #Bihar #Rajasthan  #HP #Shimla #Delhi #Harayana #Kerla #Gujrat #MLA #Chandigarh #INC #AAP #politician  #MLA #MP #election https://t.co/K9S9SJBOW8"
1297406711775391744,Himachali Retweets,RT_Himachal,"Himachal Pradesh, India",4734,6,2039,"A tweet bot, that retweets, #himachal, #himachalPradesh. If you don't want me to retweet, please block this account.",1,gsgopalpuri,2020-08-23 05:33:59,2,0,,"➡️ Important Information ⬅️
@AmitShah @BJP4India @RJDforIndia @TejYadav14 @yadavtejashwi @INCIndia @officeofssbadal @ChouhanShivraj 
 #UttarPradesh #UP #MP #Bihar #Rajasthan  #HP #Shimla #Delhi #Harayana #Kerla #Gujrat #MLA #Chandigarh #INC #AAP #politician  #MLA #MP #election https://t.co/K9S9SJBOW8"
1297406688299892737,Gurjeet Singh Gopalpuri,gsgopalpuri,"Punjab, India",478,27,946,"Gurjeet Singh Gopalpuri,aka Gopalpuri, is works as the young Political facilitator, Strategist ,Thinker,coordinator in political circles & Motivational Speaker",0,gsgopalpuri,2020-08-23 05:33:53,2,1,"UttarPradesh, UP, MP, Bihar, Rajasthan, HP, Shimla, Delhi, Harayana, Kerla, Gujrat, MLA, Chandigarh, INC, AAP, politician, MLA, MP, election","➡️ Important Information ⬅️
@AmitShah @BJP4India @RJDforIndia @TejYadav14 @yadavtejashwi @INCIndia @officeofssbadal @ChouhanShivraj 
 #UttarPradesh #UP #MP #Bihar #Rajasthan  #HP #Shimla #Delhi #Harayana #Kerla #Gujrat #MLA #Chandigarh #INC #AAP #politician  #MLA #MP #election https://t.co/K9S9SJBOW8"
1297406175739142144,PonG😷,PPPonGo,Hong Kong,1263,1605,1138,"香港人
HongKonger
寧化飛灰 不作浮塵
If we burn, you burn with us.",1,law_harrod,2020-08-23 05:31:51,1,0,"HongKong, election, democracy",@TheEconomist #HongKong’s #election officers recently disqualified a dozen pro-#democracy politicians from seeking seats in the city’s #Legislative Council at elections scheduled for September. The #candidates’ purported misdeeds included questioning the need for a #nationalsecuritylaw
1297405817256398850,Cezar Ostrowski,CezarGotJokes,"here, there & nowhere ",371,1053,3322,Joke maker. Pizza eater. Sports watcher. One-time youngest person on earth. My fav color is totes ROYGBIV. HARIBO is my copilot.,0,CezarGotJokes,2020-08-23 05:30:26,0,0,"meteor, Earth, Election",Apparantly there’s a #meteor that is threatening to hit #Earth just before the #Election...? Looks like things are looking promising after all.
1297405519762616320,Himachali Retweets,RT_Himachal,"Himachal Pradesh, India",4734,6,2039,"A tweet bot, that retweets, #himachal, #himachalPradesh. If you don't want me to retweet, please block this account.",1,gcpaindia,2020-08-23 05:29:15,1,0,,"➡️ Important Information ⬅️
@AmitShah @BJP4India @RJDforIndia @TejYadav14 @yadavtejashwi @INCIndia @officeofssbadal @ChouhanShivraj 
 #UttarPradesh #UP #MP #Bihar #Rajasthan  #HP #Shimla #Delhi #Harayana #Kerla #Gujrat #MLA #Chandigarh #INC #AAP #politician  #MLA #MP #election https://t.co/lwPOgE2hHY"
1297405496266117120,G-CPA,gcpaindia,"Chandigarh, India",1,21,101,"G-CPA ( Gopalpuri's Committee Of Political Action ) is works as the young Political facilitator, Strategist ,coordinator in political circles.",0,gcpaindia,2020-08-23 05:29:09,1,0,"UttarPradesh, UP, MP, Bihar, Rajasthan, HP, Shimla, Delhi, Harayana, Kerla, Gujrat, MLA, Chandigarh, INC, AAP, politician, MLA, MP, election","➡️ Important Information ⬅️
@AmitShah @BJP4India @RJDforIndia @TejYadav14 @yadavtejashwi @INCIndia @officeofssbadal @ChouhanShivraj 
 #UttarPradesh #UP #MP #Bihar #Rajasthan  #HP #Shimla #Delhi #Harayana #Kerla #Gujrat #MLA #Chandigarh #INC #AAP #politician  #MLA #MP #election https://t.co/lwPOgE2hHY"
1297404842126839808,"Oooh, Canada !",CanadaOooh,Inner Outer Space,2510,1978,822,Be electric. Be eclectic. Be eccentric.,0,CanadaOooh,2020-08-23 05:26:33,0,1,"cdnpoli, Canada, trudeau, Election","#cdnpoli
#Canada
#trudeau
#Election

2/ ... Trudeau will announce a Universal Basic Income plan to replace CPP, OAS, pandemic financial relief plans, all welfare, etc. ...

""... an ambitious plan on the future of the country that recognizes the vulnerabilities COVID has exposed""."
1297404840721735680,"Oooh, Canada !",CanadaOooh,Inner Outer Space,2510,1978,822,Be electric. Be eclectic. Be eccentric.,0,CanadaOooh,2020-08-23 05:26:33,0,0,"cdnpoli, Canada, Election, Trudeau","#cdnpoli
#Canada
#Election

#Trudeau speech decoder

We're going to have a fall election ...

""... (some) parties don't think we should be doing as much as we do ... that's part of the choice Canadians are going to be facing in the coming months."" ... /2

https://t.co/yD0z9lVRCq"
1297404558763864064,Akash Tailor,AkashTailor_33,,35,40,103,"GUJARAT PRESIDENT 
HUMAN RIGHTS MISSION
🚩जय श्री राम🚩",1,Rajesh070003,2020-08-23 05:25:26,4,0,"indianpolitics, india, bjp, narendramodi, mumbai, politics, election, india","MODI HE TOH SAB MUMKIN HAI 🙏🙏🙏🇮🇳🇮🇳🇮🇳🇮🇳

#indianpolitics #india #bjp #narendramodi #mumbai #politics #election #india #modi #pkmkb #delhi #rss #amitshah #news #pakistan #pakistani #hindu #hinduism #crpatil #vijayrupani #NarendraModi #bjym https://t.co/SyHZYwWEhz"
1297404516111798273,#Biden2020,LW34416489,USA,3817,4508,937,"Mother of two! 💕 Proud dog owner! Concerned for the US! Please no porn.


#FBR, #WomenAgainstTrump #TakeBackOurCountry #BlackLifesMatter",1,crooksandliars,2020-08-23 05:25:15,149,0,"Mnuchin, DeJoy, USPS",Who is shocked to learn Steven Mnuchin is neck deep in the USPS voter suppression scandal? #Mnuchin #DeJoy #USPS #Election #VoteByMail #VoterSuppression https://t.co/tHj3G7BlLk
1297404252206198784,Gurudutt Dhareshwar,gdhareshwar,"Irving, TX",96,158,3875,,1,kiabms5,2020-08-23 05:24:12,27,0,,"If USPS is super important for democracy, then folks who care should create a GoFundMe page for USPS. Top celebrities and Dem politicians should make the GoFundMe page go viral!
#Election #Election2020 #SaveUSPS https://t.co/guHWnyGhaV"
1297403900627234816,Rafael Sin Bolla,Shakacholo969,,63,94,3548,,1,crooksandliars,2020-08-23 05:22:49,149,0,"Mnuchin, DeJoy, USPS",Who is shocked to learn Steven Mnuchin is neck deep in the USPS voter suppression scandal? #Mnuchin #DeJoy #USPS #Election #VoteByMail #VoterSuppression https://t.co/tHj3G7BlLk
